Graph A: 30 vertices, 130 edges
Edge thresholds: edges < 115 or edges > 145

Graph     Nodes     Edges     GED            EdgeStatus     
B433      30        128       196            IN_RANGE       
B434      30        133       177            IN_RANGE       
B435      30        128       184            IN_RANGE       
B436      30        131       181            IN_RANGE       
B437      30        132       192            IN_RANGE       
B438      30        132       180            IN_RANGE       
B439      30        128       178            IN_RANGE       
B440      30        129       185            IN_RANGE       
B441      30        126       178            IN_RANGE       
B442      30        131       183            IN_RANGE       
B443      30        129       189            IN_RANGE       
B444      30        126       172            IN_RANGE       
B445      30        133       191            IN_RANGE       
B446      30        130       196            IN_RANGE       
B447      30        133       175            IN_RANGE       
B448      30        130       178            IN_RANGE       
B449      30        132       178            IN_RANGE       
B450      30        127       175            IN_RANGE       
B451      30        130       178            IN_RANGE       
B452      30        131       193            IN_RANGE       
B453      30        130       170            IN_RANGE       
B454      30        131       171            IN_RANGE       
B455      30        129       177            IN_RANGE       
B456      30        131       191            IN_RANGE       
B457      30        130       192            IN_RANGE       
B458      30        134       200            IN_RANGE       
B459      30        129       181            IN_RANGE       
B460      30        131       197            IN_RANGE       
B461      30        130       182            IN_RANGE       
B462      30        129       171            IN_RANGE       
B463      30        129       189            IN_RANGE       
B464      30        128       182            IN_RANGE       
B465      30        130       190            IN_RANGE       
B466      30        130       176            IN_RANGE       
B467      30        130       180            IN_RANGE       
B468      30        132       180            IN_RANGE       
B469      30        129       203            IN_RANGE       
B470      30        131       179            IN_RANGE       
B471      30        130       182            IN_RANGE       
B472      30        132       180            IN_RANGE       
B473      30        131       195            IN_RANGE       
B474      30        131       189            IN_RANGE       
B475      30        131       181            IN_RANGE       
B476      30        131       187            IN_RANGE       
B477      30        129       187            IN_RANGE       
B478      30        127       187            IN_RANGE       
B479      30        129       189            IN_RANGE       
B480      30        129       183            IN_RANGE       
B481      30        133       185            IN_RANGE       
B482      30        128       180            IN_RANGE       
B483      30        127       187            IN_RANGE       
B484      30        128       180            IN_RANGE       
B485      30        130       178            IN_RANGE       
B486      30        131       193            IN_RANGE       
B487      30        130       194            IN_RANGE       
B488      30        134       190            IN_RANGE       
B489      30        130       180            IN_RANGE       
B490      30        132       180            IN_RANGE       
B491      30        129       181            IN_RANGE       
B492      30        132       182            IN_RANGE       
B493      30        127       189            IN_RANGE       
B494      30        131       169            IN_RANGE       
B495      30        133       195            IN_RANGE       
B496      30        129       171            IN_RANGE       
B497      30        128       170            IN_RANGE       
B498      30        133       179            IN_RANGE       
B499      30        129       191            IN_RANGE       
B500      30        132       188            IN_RANGE       

============================================================
STATISTICS (first 500 graphs from file B):
Graphs with GED <= 15: 0
Graphs with GED > 15: 499
Graphs with edges < 115: 0
Graphs with edges > 145: 0
Graphs with edges in range [115, 145]: 500
Graphs with different vertex count: 1
Total graphs processed: 500
